Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,SA4 Name 2021,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day,Number Fatalities,"Bus 
Involvement",Time of Day
20236012,Tas,7,2023,Sunday,20:42:00,Single,No,No,No,100,Pedestrian,Male,16,Inner Regional Australia,Hobart,Derwent Valley,National or State Highway,No,No,0_to_16,Weekend,Night,1,No,Night
20231131,NSW,7,2023,Friday,18:00:00,Multiple,No,No,No,70,Motorcycle rider,Male,14,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Arterial Road,No,No,0_to_16,Weekend,Night,1,No,Night
20233130,Qld,7,2023,Sunday,23:00:00,Single,No,No,No,70,Driver,Male,18,Major Cities of Australia,Brisbane - East,Brisbane,Sub-arterial Road,No,No,17_to_25,Weekend,Night,1,No,Night
20233136,Qld,7,2023,Sunday,18:00:00,Single,No,No,No,60,Passenger,Male,17,Major Cities of Australia,Brisbane - West,Brisbane,Collector Road,No,No,17_to_25,Weekend,Night,1,No,Night
20233095,Qld,7,2023,Friday,00:00:00,Multiple,No,No,No,60,Passenger,Female,18,Inner Regional Australia,Toowoomba,Toowoomba,Local Road,No,No,17_to_25,Weekday,Night,1,No,Night
20238002,ACT,7,2023,Sunday,16:20:00,Single,No,No,No,-9,Driver,Male,18,-9,-9,-9,-9,No,No,17_to_25,Weekend,Day,1,No,Day
20231146,NSW,7,2023,Sunday,12:40:00,Multiple,No,No,No,100,Pedal cyclist,Female,17,Outer Regional Australia,Far West and Orana,Cabonne,Sub-arterial Road,No,No,17_to_25,Weekend,Day,1,No,Day
20231125,NSW,7,2023,Wednesday,08:40:00,Multiple,No,Yes,Yes,100,Driver,Female,18,Inner Regional Australia,Hunter Valley exc Newcastle,Singleton,National or State Highway,No,No,17_to_25,Weekday,Day,1,No,Day
20233054,Qld,7,2023,Tuesday,08:00:00,Single,No,No,No,40,Driver,Male,18,Major Cities of Australia,Moreton Bay - South,Moreton Bay,Collector Road,No,No,17_to_25,Weekday,Day,1,No,Day
20232036,Vic,7,2023,Thursday,21:45:00,Multiple,-9,-9,-9,-9,Driver,Male,17,-9,-9,-9,-9,No,No,17_to_25,Weekday,Night,1,-9,Night
20231032,NSW,6,2023,Friday,18:30:00,Single,No,No,No,60,Pedal cyclist,Male,13,Major Cities of Australia,Illawarra,Shellharbour,Arterial Road,No,No,0_to_16,Weekend,Night,1,No,Night
20231129,NSW,6,2023,Sunday,00:59:00,Single,No,No,No,50,Driver,Male,17,Outer Regional Australia,New England and North West,Moree Plains,Local Road,No,No,17_to_25,Weekend,Night,1,No,Night
20236009,Tas,6,2023,Sunday,19:30:00,Multiple,No,No,No,110,Driver,Male,18,Outer Regional Australia,West and North West,Latrobe (Tas.),National or State Highway,No,No,17_to_25,Weekend,Night,1,No,Night
20233101,Qld,6,2023,Saturday,14:00:00,Multiple,No,No,No,100,Passenger,Female,15,Inner Regional Australia,Wide Bay,Gympie,Collector Road,No,No,0_to_16,Weekend,Day,1,No,Day
20232055,Vic,6,2023,Wednesday,08:19:00,Multiple,No,No,No,110,Passenger,Female,15,-9,-9,-9,-9,No,No,0_to_16,Weekday,Day,1,No,Day
