Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,SA4 Name 2021,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day,Number Fatalities,"Bus 
Involvement",Time of Day
20231131,NSW,7,2023,Friday,18:00:00,Multiple,No,No,No,70,Motorcycle rider,Male,14,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Arterial Road,No,No,0_to_16,Weekend,Night,1,No,Night
20231146,NSW,7,2023,Sunday,12:40:00,Multiple,No,No,No,100,Pedal cyclist,Female,17,Outer Regional Australia,Far West and Orana,Cabonne,Sub-arterial Road,No,No,17_to_25,Weekend,Day,1,No,Day
20231125,NSW,7,2023,Wednesday,08:40:00,Multiple,No,Yes,Yes,100,Driver,Female,18,Inner Regional Australia,Hunter Valley exc Newcastle,Singleton,National or State Highway,No,No,17_to_25,Weekday,Day,1,No,Day
20231032,NSW,6,2023,Friday,18:30:00,Single,No,No,No,60,Pedal cyclist,Male,13,Major Cities of Australia,Illawarra,Shellharbour,Arterial Road,No,No,0_to_16,Weekend,Night,1,No,Night
20231129,NSW,6,2023,Sunday,00:59:00,Single,No,No,No,50,Driver,Male,17,Outer Regional Australia,New England and North West,Moree Plains,Local Road,No,No,17_to_25,Weekend,Night,1,No,Night
20231177,NSW,5,2023,Saturday,17:58:00,Multiple,No,No,No,80,Passenger,Female,15,Inner Regional Australia,Murray,Albury,National or State Highway,No,No,0_to_16,Weekend,Day,1,No,Day
20231100,NSW,5,2023,Wednesday,23:58:00,Single,No,No,No,40,Pedestrian,Female,16,Major Cities of Australia,Sydney - City and Inner South,Sydney,Arterial Road,No,No,0_to_16,Weekday,Night,1,No,Night
20231057,NSW,4,2023,Saturday,19:00:00,Single,No,No,No,100,Driver,Male,18,Outer Regional Australia,Central West,Cabonne,Arterial Road,No,No,17_to_25,Weekend,Night,1,No,Night
20231076,NSW,4,2023,Saturday,10:00:00,Single,No,No,No,60,Driver,Male,17,Major Cities of Australia,Sydney - Parramatta,Cumberland,Collector Road,No,No,17_to_25,Weekend,Day,1,No,Day
20231069,NSW,4,2023,Tuesday,23:09:00,Single,No,No,No,60,Passenger,Male,13,Outer Regional Australia,Riverina,Leeton,Local Road,No,No,0_to_16,Weekday,Night,4,No,Night
20231069,NSW,4,2023,Tuesday,23:09:00,Single,No,No,No,60,Passenger,Male,12,Outer Regional Australia,Riverina,Leeton,Local Road,No,No,0_to_16,Weekday,Night,4,No,Night
